,Game_Id,Period,Team,Player,Player_Id,Start,End,Duration,Date
70,20318,1,BUF,COLIN MILLER,8476525,295.0,326.0,31.0,2019-11-19
71,20318,1,MIN,MATT DUMBA,8476856,295.0,365.0,70.0,2019-11-19
72,20318,1,MIN,RYAN HARTMAN,8477451,295.0,329.0,34.0,2019-11-19
73,20318,1,BUF,CASEY MITTELSTADT,8479999,295.0,326.0,31.0,2019-11-19
74,20318,1,BUF,HENRI JOKIHARJU,8480035,295.0,326.0,31.0,2019-11-19
75,20318,1,BUF,JAKE MCCABE,8476931,326.0,336.0,10.0,2019-11-19
76,20318,1,BUF,SAM REINHART,8477933,326.0,420.0,94.0,2019-11-19
77,20318,1,BUF,JACK EICHEL,8478403,326.0,420.0,94.0,2019-11-19
78,20318,1,MIN,JOEL ERIKSSON EK,8478493,326.0,365.0,39.0,2019-11-19
79,20318,1,BUF,RASMUS DAHLIN,8480839,326.0,420.0,94.0,2019-11-19
80,20318,1,MIN,LUKE KUNIN,8479316,329.0,365.0,36.0,2019-11-19
81,20318,1,BUF,RASMUS RISTOLAINEN,8477499,336.0,420.0,84.0,2019-11-19
82,20318,1,BUF,VICTOR OLOFSSON,8478109,336.0,409.0,73.0,2019-11-19
83,20318,1,MIN,RYAN SUTER,8470600,365.0,403.0,38.0,2019-11-19
84,20318,1,MIN,JARED SPURGEON,8474716,365.0,403.0,38.0,2019-11-19
85,20318,1,MIN,RYAN HARTMAN,8477451,365.0,403.0,38.0,2019-11-19
86,20318,1,MIN,JORDAN GREENWAY,8478413,365.0,403.0,38.0,2019-11-19
87,20318,1,MIN,MIKKO KOIVU,8469459,403.0,422.0,19.0,2019-11-19
88,20318,1,MIN,JONAS BRODIN,8476463,403.0,434.0,31.0,2019-11-19
89,20318,1,MIN,MATT DUMBA,8476856,403.0,434.0,31.0,2019-11-19
90,20318,1,MIN,LUKE KUNIN,8479316,403.0,422.0,19.0,2019-11-19
91,20318,1,BUF,CASEY MITTELSTADT,8479999,409.0,434.0,25.0,2019-11-19
92,20318,1,MIN,ZACH PARISE,8470610,415.0,434.0,19.0,2019-11-19
93,20318,1,BUF,COLIN MILLER,8476525,420.0,434.0,14.0,2019-11-19
94,20318,1,BUF,JIMMY VESEY,8476918,420.0,434.0,14.0,2019-11-19
95,20318,1,BUF,JAKE MCCABE,8476931,420.0,478.0,58.0,2019-11-19
96,20318,1,BUF,CURTIS LAZAR,8477508,420.0,434.0,14.0,2019-11-19
97,20318,1,MIN,KEVIN FIALA,8477942,422.0,434.0,12.0,2019-11-19
98,20318,1,MIN,JOEL ERIKSSON EK,8478493,422.0,434.0,12.0,2019-11-19
99,20318,1,MIN,ERIC STAAL,8470595,434.0,478.0,44.0,2019-11-19
100,20318,1,MIN,MATS ZUCCARELLO,8475692,434.0,478.0,44.0,2019-11-19
101,20318,1,MIN,JASON ZUCKER,8475722,434.0,478.0,44.0,2019-11-19
102,20318,1,MIN,BRAD HUNT,8476779,434.0,478.0,44.0,2019-11-19
103,20318,1,MIN,CARSON SOUCY,8477369,434.0,478.0,44.0,2019-11-19
104,20318,1,BUF,RASMUS RISTOLAINEN,8477499,434.0,478.0,44.0,2019-11-19
105,20318,1,BUF,SAM REINHART,8477933,434.0,478.0,44.0,2019-11-19
106,20318,1,BUF,VICTOR OLOFSSON,8478109,434.0,478.0,44.0,2019-11-19
107,20318,1,BUF,JACK EICHEL,8478403,434.0,478.0,44.0,2019-11-19
108,20318,1,MIN,RYAN SUTER,8470600,478.0,545.0,67.0,2019-11-19
109,20318,1,MIN,JARED SPURGEON,8474716,478.0,540.0,62.0,2019-11-19
110,20318,1,BUF,JEFF SKINNER,8475784,478.0,538.0,60.0,2019-11-19
111,20318,1,MIN,VICTOR RASK,8476437,478.0,534.0,56.0,2019-11-19
112,20318,1,MIN,RYAN HARTMAN,8477451,478.0,534.0,56.0,2019-11-19
113,20318,1,BUF,CONOR SHEARY,8477839,478.0,538.0,60.0,2019-11-19
114,20318,1,BUF,BRANDON MONTOUR,8477986,478.0,538.0,60.0,2019-11-19
115,20318,1,MIN,RYAN DONATO,8477987,478.0,537.0,59.0,2019-11-19
116,20318,1,BUF,EVAN RODRIGUES,8478542,478.0,538.0,60.0,2019-11-19
117,20318,1,BUF,RASMUS DAHLIN,8480839,478.0,538.0,60.0,2019-11-19
118,20318,1,MIN,MIKKO KOIVU,8469459,534.0,595.0,61.0,2019-11-19
119,20318,1,MIN,KEVIN FIALA,8477942,534.0,603.0,69.0,2019-11-19
120,20318,1,MIN,ZACH PARISE,8470610,537.0,595.0,58.0,2019-11-19
121,20318,1,BUF,COLIN MILLER,8476525,538.0,613.0,75.0,2019-11-19
122,20318,1,BUF,ZEMGUS GIRGENSONS,8476878,538.0,597.0,59.0,2019-11-19
123,20318,1,BUF,JOHN GILMOUR,8477337,538.0,597.0,59.0,2019-11-19
124,20318,1,BUF,RASMUS ASPLUND,8479335,538.0,597.0,59.0,2019-11-19
125,20318,1,BUF,HENRI JOKIHARJU,8480035,538.0,613.0,75.0,2019-11-19
126,20318,1,MIN,MATT DUMBA,8476856,540.0,545.0,5.0,2019-11-19
127,20318,1,MIN,BRAD HUNT,8476779,545.0,595.0,50.0,2019-11-19
128,20318,1,MIN,CARSON SOUCY,8477369,545.0,595.0,50.0,2019-11-19
129,20318,1,MIN,JONAS BRODIN,8476463,595.0,645.0,50.0,2019-11-19
130,20318,1,MIN,MATT DUMBA,8476856,595.0,645.0,50.0,2019-11-19
131,20318,1,MIN,JORDAN GREENWAY,8478413,595.0,677.0,82.0,2019-11-19
132,20318,1,MIN,LUKE KUNIN,8479316,595.0,677.0,82.0,2019-11-19
133,20318,1,BUF,SAM REINHART,8477933,597.0,677.0,80.0,2019-11-19
134,20318,1,BUF,VICTOR OLOFSSON,8478109,597.0,677.0,80.0,2019-11-19
135,20318,1,BUF,JACK EICHEL,8478403,597.0,677.0,80.0,2019-11-19
136,20318,1,MIN,JOEL ERIKSSON EK,8478493,603.0,677.0,74.0,2019-11-19
137,20318,1,BUF,JAKE MCCABE,8476931,613.0,645.0,32.0,2019-11-19
138,20318,1,BUF,RASMUS RISTOLAINEN,8477499,613.0,645.0,32.0,2019-11-19
139,20318,1,MIN,RYAN SUTER,8470600,645.0,677.0,32.0,2019-11-19
140,20318,1,MIN,JARED SPURGEON,8474716,645.0,677.0,32.0,2019-11-19
141,20318,1,BUF,BRANDON MONTOUR,8477986,645.0,677.0,32.0,2019-11-19
142,20318,1,BUF,RASMUS DAHLIN,8480839,645.0,677.0,32.0,2019-11-19
143,20318,1,MIN,ERIC STAAL,8470595,677.0,767.0,90.0,2019-11-19
144,20318,1,MIN,MATS ZUCCARELLO,8475692,677.0,730.0,53.0,2019-11-19
145,20318,1,MIN,JASON ZUCKER,8475722,677.0,761.0,84.0,2019-11-19
146,20318,1,BUF,JEFF SKINNER,8475784,677.0,720.0,43.0,2019-11-19
147,20318,1,MIN,JONAS BRODIN,8476463,677.0,722.0,45.0,2019-11-19
148,20318,1,MIN,MATT DUMBA,8476856,677.0,722.0,45.0,2019-11-19
149,20318,1,BUF,JAKE MCCABE,8476931,677.0,732.0,55.0,2019-11-19
150,20318,1,BUF,RASMUS RISTOLAINEN,8477499,677.0,732.0,55.0,2019-11-19
151,20318,1,BUF,CONOR SHEARY,8477839,677.0,720.0,43.0,2019-11-19
152,20318,1,BUF,EVAN RODRIGUES,8478542,677.0,720.0,43.0,2019-11-19
