,Game_Id,Date,Period,Event,Description,Time_Elapsed,Seconds_Elapsed,Strength,Ev_Zone,Type,Ev_Team,Home_Zone,Away_Team,Home_Team,p1_name,p1_ID,p2_name,p2_ID,p3_name,p3_ID,awayPlayer1,awayPlayer1_id,awayPlayer2,awayPlayer2_id,awayPlayer3,awayPlayer3_id,awayPlayer4,awayPlayer4_id,awayPlayer5,awayPlayer5_id,awayPlayer6,awayPlayer6_id,homePlayer1,homePlayer1_id,homePlayer2,homePlayer2_id,homePlayer3,homePlayer3_id,homePlayer4,homePlayer4_id,homePlayer5,homePlayer5_id,homePlayer6,homePlayer6_id,Away_Players,Home_Players,Away_Score,Home_Score,Away_Goalie,Away_Goalie_Id,Home_Goalie,Home_Goalie_Id,xC,yC,Home_Coach,Away_Coach
2576,20354,2019-11-23,1,SHOT,N.J ONGOAL - #19 ZAJAC Snap Neu. Zone 90 ft.,2:04,124.0,5x5,Neu,SNAP SHOT,N.J,Neu,DET,N.J,TRAVIS ZAJAC,8471233.0,,,,,LUKE GLENDENING,8476822.0,DARREN HELM,8471794.0,ANDREAS ATHANASIOU,8476960.0,DYLAN MCILRATH,8475795.0,DENNIS CHOLOWSKI,8479395.0,JONATHAN BERNIER,8473541.0,TRAVIS ZAJAC,8471233.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,MATT TENNYSON,8476807.0,WILL BUTCHER,8477355.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,1.0,-20.0,JOHN HYNES,JEFF BLASHILL
2577,20354,2019-11-23,1,HIT,N.J #43 SENEY HIT DET #21 CHOLOWSKI Off. Zone,2:19,139.0,5x5,Off,,N.J,Off,DET,N.J,BRETT SENEY,8478881.0,DENNIS CHOLOWSKI,8479395.0,,,LUKE GLENDENING,8476822.0,DARREN HELM,8471794.0,ANDREAS ATHANASIOU,8476960.0,DYLAN MCILRATH,8475795.0,DENNIS CHOLOWSKI,8479395.0,JONATHAN BERNIER,8473541.0,TRAVIS ZAJAC,8471233.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,MATT TENNYSON,8476807.0,WILL BUTCHER,8477355.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,62.0,-38.0,JOHN HYNES,JEFF BLASHILL
2578,20354,2019-11-23,1,HIT,N.J #7 TENNYSON HIT DET #41 GLENDENING Def. Zone,2:29,149.0,5x5,Def,,N.J,Def,DET,N.J,MATT TENNYSON,8476807.0,LUKE GLENDENING,8476822.0,,,LUKE GLENDENING,8476822.0,DARREN HELM,8471794.0,ANDREAS ATHANASIOU,8476960.0,DYLAN MCILRATH,8475795.0,DENNIS CHOLOWSKI,8479395.0,JONATHAN BERNIER,8473541.0,TRAVIS ZAJAC,8471233.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,MATT TENNYSON,8476807.0,WILL BUTCHER,8477355.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,-38.0,38.0,JOHN HYNES,JEFF BLASHILL
2608,20354,2019-11-23,1,HIT,DET #14 FABBRI HIT N.J #43 SENEY Off. Zone,8:35,515.0,5x5,Off,,DET,Def,DET,N.J,ROBBY FABBRI,8477952.0,BRETT SENEY,8478881.0,,,ROBBY FABBRI,8477952.0,DYLAN LARKIN,8477946.0,TYLER BERTUZZI,8477479.0,JONATHAN ERICSSON,8470318.0,MADISON BOWEY,8477474.0,JONATHAN BERNIER,8473541.0,JACK HUGHES,8481559.0,WAYNE SIMMONDS,8474190.0,BRETT SENEY,8478881.0,DAMON SEVERSON,8476923.0,SAMI VATANEN,8475222.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,-95.0,10.0,JOHN HYNES,JEFF BLASHILL
2609,20354,2019-11-23,1,BLOCK,N.J #43 SENEY BLOCKED BY  DET #74 BOWEY Wrist Def. Zone,8:48,528.0,5x5,Def,WRIST SHOT,N.J,Off,DET,N.J,MADISON BOWEY,8477474.0,BRETT SENEY,8478881.0,,,ROBBY FABBRI,8477952.0,DYLAN LARKIN,8477946.0,TYLER BERTUZZI,8477479.0,JONATHAN ERICSSON,8470318.0,MADISON BOWEY,8477474.0,JONATHAN BERNIER,8473541.0,JACK HUGHES,8481559.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,ANDY GREENE,8472382.0,DAMON SEVERSON,8476923.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,68.0,9.0,JOHN HYNES,JEFF BLASHILL
2610,20354,2019-11-23,1,STOP,OFFSIDE,8:53,533.0,5x5,,,,,DET,N.J,,,,,,,ROBBY FABBRI,8477952.0,DYLAN LARKIN,8477946.0,TYLER BERTUZZI,8477479.0,JONATHAN ERICSSON,8470318.0,MADISON BOWEY,8477474.0,JONATHAN BERNIER,8473541.0,TRAVIS ZAJAC,8471233.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,ANDY GREENE,8472382.0,DAMON SEVERSON,8476923.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,,,JOHN HYNES,JEFF BLASHILL
2611,20354,2019-11-23,1,FAC,DET won Neu. Zone - DET #81 NIELSEN vs N.J #19 ZAJAC,8:53,533.0,5x5,Neu,,DET,Neu,DET,N.J,FRANS NIELSEN,8470144.0,TRAVIS ZAJAC,8471233.0,,,CHRISTOFFER EHN,8478036.0,FRANS NIELSEN,8470144.0,TARO HIROSE,8481433.0,DYLAN MCILRATH,8475795.0,DENNIS CHOLOWSKI,8479395.0,JONATHAN BERNIER,8473541.0,TRAVIS ZAJAC,8471233.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,MATT TENNYSON,8476807.0,WILL BUTCHER,8477355.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,-20.0,22.0,JOHN HYNES,JEFF BLASHILL
2612,20354,2019-11-23,1,MISS,DET #20 MCILRATH Wrist Wide of Net Off. Zone 56 ft.,9:20,560.0,5x5,Off,WRIST SHOT,DET,Def,DET,N.J,DYLAN MCILRATH,8475795.0,,,,,CHRISTOFFER EHN,8478036.0,FRANS NIELSEN,8470144.0,TARO HIROSE,8481433.0,DYLAN MCILRATH,8475795.0,DENNIS CHOLOWSKI,8479395.0,JONATHAN BERNIER,8473541.0,TRAVIS ZAJAC,8471233.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,MATT TENNYSON,8476807.0,WILL BUTCHER,8477355.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,-43.0,33.0,JOHN HYNES,JEFF BLASHILL
2613,20354,2019-11-23,1,MISS,N.J #97 GUSEV Wrist Wide of Net Off. Zone 44 ft.,9:40,580.0,5x5,Off,WRIST SHOT,N.J,Off,DET,N.J,NIKITA GUSEV,8477038.0,,,,,CHRISTOFFER EHN,8478036.0,FRANS NIELSEN,8470144.0,TARO HIROSE,8481433.0,DYLAN MCILRATH,8475795.0,DENNIS CHOLOWSKI,8479395.0,JONATHAN BERNIER,8473541.0,TRAVIS ZAJAC,8471233.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,MATT TENNYSON,8476807.0,WILL BUTCHER,8477355.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,48.0,-16.0,JOHN HYNES,JEFF BLASHILL
2614,20354,2019-11-23,1,STOP,PUCK IN NETTING,9:40,580.0,5x5,,,,,DET,N.J,,,,,,,CHRISTOFFER EHN,8478036.0,FRANS NIELSEN,8470144.0,TARO HIROSE,8481433.0,DYLAN MCILRATH,8475795.0,DENNIS CHOLOWSKI,8479395.0,JONATHAN BERNIER,8473541.0,TRAVIS ZAJAC,8471233.0,BRETT SENEY,8478881.0,NIKITA GUSEV,8477038.0,MATT TENNYSON,8476807.0,WILL BUTCHER,8477355.0,LOUIS DOMINGUE,8475839.0,6,6,0,0,JONATHAN BERNIER,8473541.0,LOUIS DOMINGUE,8475839.0,,,JOHN HYNES,JEFF BLASHILL
