,Game_Id,Date,Period,Event,Description,Time_Elapsed,Seconds_Elapsed,Strength,Ev_Zone,Type,Ev_Team,Home_Zone,Away_Team,Home_Team,p1_name,p1_ID,p2_name,p2_ID,p3_name,p3_ID,awayPlayer1,awayPlayer1_id,awayPlayer2,awayPlayer2_id,awayPlayer3,awayPlayer3_id,awayPlayer4,awayPlayer4_id,awayPlayer5,awayPlayer5_id,awayPlayer6,awayPlayer6_id,homePlayer1,homePlayer1_id,homePlayer2,homePlayer2_id,homePlayer3,homePlayer3_id,homePlayer4,homePlayer4_id,homePlayer5,homePlayer5_id,homePlayer6,homePlayer6_id,Away_Players,Home_Players,Away_Score,Home_Score,Away_Goalie,Away_Goalie_Id,Home_Goalie,Home_Goalie_Id,xC,yC,Home_Coach,Away_Coach
1895,20633,2020-01-02,1,HIT,TOR #33 GAUTHIER HIT WPG #2 BITETTO Off. Zone,2:37,157.0,5x5,Off,,TOR,Def,TOR,WPG,FREDERIK GAUTHIER,8477512.0,ANTHONY BITETTO,8475868.0,,,JASON SPEZZA,8469455.0,FREDERIK GAUTHIER,8477512.0,MASON MARCHMENT,8478975.0,JUSTIN HOLL,8475718.0,MARTIN MARINCIN,8475716.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,MATHIEU PERREAULT,8473618.0,GABRIEL BOURQUE,8475268.0,ANTHONY BITETTO,8475868.0,CARL DAHLSTROM,8477472.0,CONNOR HELLEBUYCK,8476945.0,6,6,0,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,34.0,-40.0,PAUL MAURICE,SHELDON KEEFE
1896,20633,2020-01-02,1,STOP,OFFSIDE,2:40,160.0,5x5,,,,,TOR,WPG,,,,,,,JASON SPEZZA,8469455.0,FREDERIK GAUTHIER,8477512.0,MASON MARCHMENT,8478975.0,JUSTIN HOLL,8475718.0,MARTIN MARINCIN,8475716.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,MASON APPLETON,8478891.0,GABRIEL BOURQUE,8475268.0,ANTHONY BITETTO,8475868.0,CARL DAHLSTROM,8477472.0,CONNOR HELLEBUYCK,8476945.0,6,6,0,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,,,PAUL MAURICE,SHELDON KEEFE
1897,20633,2020-01-02,1,FAC,TOR won Neu. Zone - TOR #77 BROOKS vs WPG #21 SHORE,2:40,160.0,5x5,Neu,,TOR,Neu,TOR,WPG,ADAM BROOKS,8478996.0,NICHOLAS SHORE,8476406.0,,,FREDERIK GAUTHIER,8477512.0,ADAM BROOKS,8478996.0,MASON MARCHMENT,8478975.0,JUSTIN HOLL,8475718.0,MARTIN MARINCIN,8475716.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,JANSEN HARKINS,8478424.0,MASON APPLETON,8478891.0,TUCKER POOLMAN,8477359.0,JOSH MORRISSEY,8477504.0,CONNOR HELLEBUYCK,8476945.0,6,6,0,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,-20.0,-22.0,PAUL MAURICE,SHELDON KEEFE
1898,20633,2020-01-02,1,STOP,ICING,2:47,167.0,5x5,,,,,TOR,WPG,,,,,,,FREDERIK GAUTHIER,8477512.0,ADAM BROOKS,8478996.0,MASON MARCHMENT,8478975.0,JUSTIN HOLL,8475718.0,MARTIN MARINCIN,8475716.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,JANSEN HARKINS,8478424.0,MASON APPLETON,8478891.0,TUCKER POOLMAN,8477359.0,JOSH MORRISSEY,8477504.0,CONNOR HELLEBUYCK,8476945.0,6,6,0,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,,,PAUL MAURICE,SHELDON KEEFE
1899,20633,2020-01-02,1,FAC,WPG won Off. Zone - TOR #33 GAUTHIER vs WPG #21 SHORE,2:47,167.0,5x5,Off,,WPG,Off,TOR,WPG,NICHOLAS SHORE,8476406.0,FREDERIK GAUTHIER,8477512.0,,,FREDERIK GAUTHIER,8477512.0,ADAM BROOKS,8478996.0,MASON MARCHMENT,8478975.0,JUSTIN HOLL,8475718.0,MARTIN MARINCIN,8475716.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,JANSEN HARKINS,8478424.0,MASON APPLETON,8478891.0,TUCKER POOLMAN,8477359.0,JOSH MORRISSEY,8477504.0,CONNOR HELLEBUYCK,8476945.0,6,6,0,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,-69.0,22.0,PAUL MAURICE,SHELDON KEEFE
1900,20633,2020-01-02,1,MISS,WPG #3 POOLMAN Slap Wide of Net Off. Zone 63 ft.,2:52,172.0,5x5,Off,SLAP SHOT,WPG,Off,TOR,WPG,TUCKER POOLMAN,8477359.0,,,,,FREDERIK GAUTHIER,8477512.0,ADAM BROOKS,8478996.0,MASON MARCHMENT,8478975.0,JUSTIN HOLL,8475718.0,MARTIN MARINCIN,8475716.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,JANSEN HARKINS,8478424.0,MASON APPLETON,8478891.0,TUCKER POOLMAN,8477359.0,JOSH MORRISSEY,8477504.0,CONNOR HELLEBUYCK,8476945.0,6,6,0,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,-32.0,28.0,PAUL MAURICE,SHELDON KEEFE
1901,20633,2020-01-02,1,HIT,WPG #82 APPLETON HIT TOR #77 BROOKS Off. Zone,2:56,176.0,5x5,Off,,WPG,Off,TOR,WPG,MASON APPLETON,8478891.0,ADAM BROOKS,8478996.0,,,FREDERIK GAUTHIER,8477512.0,ADAM BROOKS,8478996.0,MASON MARCHMENT,8478975.0,JUSTIN HOLL,8475718.0,MARTIN MARINCIN,8475716.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,JANSEN HARKINS,8478424.0,MASON APPLETON,8478891.0,TUCKER POOLMAN,8477359.0,JOSH MORRISSEY,8477504.0,CONNOR HELLEBUYCK,8476945.0,6,6,0,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,-85.0,-37.0,PAUL MAURICE,SHELDON KEEFE
1931,20633,2020-01-02,1,HIT,TOR #36 MARCHMENT HIT WPG #5 SBISA Off. Zone,6:27,387.0,5x5,Off,,TOR,Def,TOR,WPG,MASON MARCHMENT,8478975.0,LUCA SBISA,8474579.0,,,FREDERIK GAUTHIER,8477512.0,ADAM BROOKS,8478996.0,MASON MARCHMENT,8478975.0,TRAVIS DERMOTT,8478408.0,CODY CECI,8476879.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,JANSEN HARKINS,8478424.0,MASON APPLETON,8478891.0,NEAL PIONK,8480145.0,LUCA SBISA,8474579.0,CONNOR HELLEBUYCK,8476945.0,6,6,1,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,98.0,-8.0,PAUL MAURICE,SHELDON KEEFE
1932,20633,2020-01-02,1,HIT,WPG #58 HARKINS HIT TOR #83 CECI Neu. Zone,6:38,398.0,5x5,Neu,,WPG,Neu,TOR,WPG,JANSEN HARKINS,8478424.0,CODY CECI,8476879.0,,,FREDERIK GAUTHIER,8477512.0,ADAM BROOKS,8478996.0,MASON MARCHMENT,8478975.0,TRAVIS DERMOTT,8478408.0,CODY CECI,8476879.0,FREDERIK ANDERSEN,8475883.0,NICHOLAS SHORE,8476406.0,JANSEN HARKINS,8478424.0,MASON APPLETON,8478891.0,NEAL PIONK,8480145.0,LUCA SBISA,8474579.0,CONNOR HELLEBUYCK,8476945.0,6,6,1,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,5.0,-39.0,PAUL MAURICE,SHELDON KEEFE
1943,20633,2020-01-02,1,FAC,WPG won Neu. Zone - TOR #77 BROOKS vs WPG #17 LOWRY,9:00,540.0,5x5,Neu,,WPG,Neu,TOR,WPG,ADAM LOWRY,8476392.0,ADAM BROOKS,8478996.0,,,FREDERIK GAUTHIER,8477512.0,ADAM BROOKS,8478996.0,MASON MARCHMENT,8478975.0,TRAVIS DERMOTT,8478408.0,CODY CECI,8476879.0,FREDERIK ANDERSEN,8475883.0,MATHIEU PERREAULT,8473618.0,ADAM LOWRY,8476392.0,GABRIEL BOURQUE,8475268.0,ANTHONY BITETTO,8475868.0,CARL DAHLSTROM,8477472.0,CONNOR HELLEBUYCK,8476945.0,6,6,2,0,FREDERIK ANDERSEN,8475883.0,CONNOR HELLEBUYCK,8476945.0,0.0,0.0,PAUL MAURICE,SHELDON KEEFE
